,species,chemical,log conc (mol/L),species_divisions,species_others,subClassOf,smiles,smiles_clusters
83,https://cfpub.epa.gov/ecotox/taxon/142,https://cfpub.epa.gov/ecotox/cas/7705080,3.1717477585293627,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,Cl[Fe](Cl)Cl,1
84,https://cfpub.epa.gov/ecotox/taxon/1495,https://cfpub.epa.gov/ecotox/cas/151508,4.867717184045152,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[C-]#N.[K+],1
85,https://cfpub.epa.gov/ecotox/taxon/152,https://cfpub.epa.gov/ecotox/cas/7447407,5.686629861320302,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[Cl-].[K+],1
86,https://cfpub.epa.gov/ecotox/taxon/152,https://cfpub.epa.gov/ecotox/cas/7757791,1.7063544162455044,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[N+](=O)([O-])[O-].[K+],0
87,https://cfpub.epa.gov/ecotox/taxon/157,https://cfpub.epa.gov/ecotox/cas/153719234,6.41738612065825,https://cfpub.epa.gov/ecotox/group/Insects/Spiders,,http://purl.obolibrary.org/obo/CHEBI_33832,CN1COCN(C1=N[N+](=O)[O-])CC2=CN=C(S2)Cl,2
88,https://cfpub.epa.gov/ecotox/taxon/16,https://cfpub.epa.gov/ecotox/cas/10108642,2.7163350810148974,https://cfpub.epa.gov/ecotox/group/Fish,,,Cl[Cd]Cl,1
89,https://cfpub.epa.gov/ecotox/taxon/16092,https://cfpub.epa.gov/ecotox/cas/7733020,3.397616534279158,https://cfpub.epa.gov/ecotox/group/Insects/Spiders,,,[O-]S(=O)(=O)[O-].[Zn+2],0
90,https://cfpub.epa.gov/ecotox/taxon/16102,https://cfpub.epa.gov/ecotox/cas/7446700,1.9237527407962385,https://cfpub.epa.gov/ecotox/group/Invertebrates,,,[Al](Cl)(Cl)Cl,1
91,https://cfpub.epa.gov/ecotox/taxon/16102,https://cfpub.epa.gov/ecotox/cas/7779886,2.1836802835477016,https://cfpub.epa.gov/ecotox/group/Invertebrates,,,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Zn+2],0
92,https://cfpub.epa.gov/ecotox/taxon/16125,https://cfpub.epa.gov/ecotox/cas/7778509,2.84329039756124,https://cfpub.epa.gov/ecotox/group/Amphibians,,,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],0
